network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.56,10.05,1540,manual,0.62,ci10266845,26:25.2,nan,32.4646667,-116.7046667,0.18,253,0.77,6.37,,1.66,ml,CI,,0.5413,60.2,141.6,"[19.700000762939453, 25.899999618530273, 21.0]",2083,26:27.3,earthquake_local,109C.TA_20070728222626_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.58,12.95,1538,manual,0.58,ci10267417,20:30.5,nan,33.3326667,-116.4305,0.22,29,0.26,4.33,1.61,1.99,ml,CI,,0.7186,79.92,52,"[27.399999618530273, 29.200000762939453, 21.899999618530273]",2219,20:37.5,earthquake_local,109C.TA_20070801032036_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.59,14.76,1773,manual,0.56,ci14311324,33:07.0,nan,33.2958333,-116.2481667,0.25,39,0.28,7.98,2.74,1.54,ml,CI,,0.8259,91.85,60.7,"[23.100000381469727, 26.399999618530273, 14.699999809265137]",2298,33:14.7,earthquake_local,109C.TA_20070804103313_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.64,3.68,1068,manual,0.64,ci14311424,56:22.8,nan,32.9311667,-117.305,0.19,222,0.53,5.32,,1.61,ml,CI,,0.1734,19.28,284.1,"[37.599998474121094, 36.29999923706055, 27.399999618530273]",1506,56:18.5,earthquake_local,109C.TA_20070804235617_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.63,16.33,2060,manual,0.63,ci14311528,04:17.0,nan,33.0943333,-116.0593333,0.28,58,0.4,5.49,,1.47,ml,CI,,0.9024,100.36,77.1,"[12.899999618530273, 17.600000381469727, 11.899999618530273]",2880,04:24.4,earthquake_local,109C.TA_20070805160423_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.64,3.76,767,manual,0.6,ci14311968,46:29.8,nan,32.9351667,-117.2898333,0.13,245,0.91,12.73,0.79,0.87,ml,CI,,0.1621,18.03,286.6,"[19.299999237060547, 23.0, 10.399999618530273]",1245,46:28.5,earthquake_local,109C.TA_20070808104627_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.5,10.89,1536,manual,0.5,12801381,16:34.5,0.35,33.0143,-116.4463,1.1555,47.701,3.5518,7.63,,2.9,ml,,,0.57,63.15,257.5,"[48.599998474121094, 51.20000076293945, 42.400001525878906]",2017,16:37.4,earthquake_local,109C.TA_20070810001636_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.55,15.71,1940,manual,0.55,ci14313884,19:14.9,nan,32.6735,-116.096,0.28,96,0.47,10.35,1.03,1.47,ml,CI,,0.8768,97.51,104.5,"[13.100000381469727, 15.899999618530273, 12.399999618530273]",3199,19:22.6,earthquake_local,109C.TA_20070817031921_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.69,10.98,1588,manual,0.64,ci14313896,27:58.8,nan,33.461,-116.8855,0.3,31,0.2,10.95,0.54,2.47,ml,CI,,0.5995,66.67,17.9,"[35.599998474121094, 37.5, 35.20000076293945]",2119,28:01.8,earthquake_local,109C.TA_20070817062800_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.6,15.81,1927,manual,0.6,ci14314152,39:24.6,nan,32.664,-116.1106667,0.26,147,0.37,9.37,0.63,1.74,ml,CI,,0.8672,96.45,105.3,"[20.0, 18.299999237060547, 16.200000762939453]",2799,39:32.4,earthquake_local,109C.TA_20070818153931_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.65,7.91,1060,manual,0.65,ci14314512,50:51.7,nan,32.6125,-117.4668333,0.2,286,0.94,12.22,1.53,2.07,ml,CI,,0.411,45.7,227.6,"[21.700000762939453, 25.399999618530273, 16.200000762939453]",2185,50:54.6,earthquake_local,109C.TA_20070820195053_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.61,9.26,1370,manual,0.61,ci10272213,02:50.8,nan,33.2933333,-116.769,0.22,44,0.27,12.41,0.86,1.81,ml,CI,,0.4922,54.74,34.9,"[27.799999237060547, 29.600000381469727, 30.600000381469727]",1954,02:53.1,earthquake_local,109C.TA_20070825050252_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.83,2100,manual,0.5,12816225,13:47.2,0.26,33.1193,-116.0207,1.2504,17.985,1.9883,3.1,,3.6,ml,,,0.94,104.51,256.1,"[52.29999923706055, 58.599998474121094, 52.900001525878906]",3199,13:56.0,earthquake_local,109C.TA_20070829041354_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,5.25,1278,manual,0.5,12816661,53:07.6,0.32,32.6931,-117.4375,1.1545,140.005,2.9323,10,,3.4,ml,,,0.34,37.96,55,"[65.4000015258789, 65.0999984741211, 58.099998474121094]",2207,53:03.8,earthquake_local,109C.TA_20070830095302_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.61,4.61,855,manual,0.61,ci10274341,44:46.8,nan,32.77,-117.3316667,0.11,272,0.78,10.97,1,1.41,ml,CI,,0.2246,24.98,238,"[15.399999618530273, 18.399999618530273, 12.399999618530273]",2420,44:46.4,earthquake_local,109C.TA_20070830144445_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.58,16.51,1700,manual,0.58,ci10275393,26:53.6,nan,32.6778333,-116.038,0.28,144,0.35,7.59,0.99,1.57,ml,CI,,0.9232,102.67,103.5,"[9.800000190734863, 9.399999618530273, 3.4000000953674316]",3199,27:05.1,earthquake_local,109C.TA_20070831232704_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.71,4.75,1082,manual,0.66,ci10275829,20:30.3,nan,32.7643333,-117.3455,0.12,255,0.45,11.01,0.6,1.96,ml,CI,,0.2375,26.41,238.3,"[36.29999923706055, 35.20000076293945, 30.299999237060547]",2126,20:28.0,earthquake_local,109C.TA_20070902212027_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.54,12.35,1274,manual,0.62,ci10275961,26:45.4,nan,33.4463333,-116.6408333,0.23,25,0.23,7.33,0.53,2.14,ml,CI,,0.6787,75.48,35,"[41.5, 34.599998474121094, 30.799999237060547]",1999,26:53.8,earthquake_local,109C.TA_20070903102652_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.69,4.55,747,manual,0.62,ci10276025,08:19.9,nan,32.7725,-117.335,0.12,274,0.63,10.99,0.85,1.44,ml,CI,,0.2257,25.1,238.9,"[16.100000381469727, 17.200000762939453, 9.699999809265137]",2188,08:20.4,earthquake_local,109C.TA_20070903180819_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.56,16.67,1655,manual,0.54,ci10276125,52:20.2,nan,33.0931667,-116.048,0.24,59,0.3,5.58,,1.73,ml,CI,,0.9115,101.36,77.3,"[10.199999809265137, 21.5, 14.399999618530273]",3199,52:31.9,earthquake_local,109C.TA_20070904035230_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.6,14.93,1512,manual,0.6,ci10276153,47:00.3,nan,33.36,-116.282,0.29,26,0.26,4.71,,2.3,ml,CI,,0.8353,92.9,55.9,"[39.0, 39.400001525878906, 46.29999923706055]",2073,47:11.2,earthquake_local,109C.TA_20070904094710_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.57,14.43,1872,manual,0.57,ci10276165,48:30.8,nan,33.652,-116.7545,0.26,20,0.21,12.83,0.32,2.46,ml,CI,,0.8158,90.72,21.1,"[36.0, 32.79999923706055, 29.0]",2537,48:37.3,earthquake_local,109C.TA_20070904124836_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,4.91,1216,manual,0.5,12956869,47:59.4,0.27,32.7178,-117.407,1.2589,136.444,2.9612,10,,3.9,mb,,,0.31,34.05,56.1,"[50.70000076293945, 50.29999923706055, 51.70000076293945]",3064,47:55.3,earthquake_local,109C.TA_20070904144754_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.61,4.73,1250,manual,0.61,ci10276401,41:14.9,nan,32.7653333,-117.3468333,0.12,255,0.45,10.46,0.48,2.27,ml,CI,,0.2379,26.46,238.6,"[28.5, 25.899999618530273, 22.200000762939453]",2585,41:10.7,earthquake_local,109C.TA_20070904204109_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.61,4.92,883,manual,0.66,ci10276409,01:24.0,nan,32.7581667,-117.3516667,0.13,259,0.46,11.13,0.69,2.19,ml,CI,,0.2451,27.26,237.7,"[30.399999618530273, 34.70000076293945, 25.100000381469727]",1747,01:23.9,earthquake_local,109C.TA_20070904210122_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.69,4.87,780,manual,0.64,ci10276465,20:31.7,,32.7615,-117.348,,,,10.97,,2.6,ml,,,0.2408,26.78,238,"[54.599998474121094, 52.400001525878906, 46.20000076293945]",1447,20:32.6,earthquake_local,109C.TA_20070905042031_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.61,4.64,1272,manual,0.61,ci10276473,31:32.5,nan,32.766,-117.3328333,0.15,272,0.61,10.9,0.8,1.44,ml,CI,,0.2276,25.31,237.2,"[23.600000381469727, 26.299999237060547, 18.0]",2125,31:28.1,earthquake_local,109C.TA_20070905043127_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.7,4.84,1257,manual,0.6,ci10276477,11:12.6,nan,32.7665,-117.351,0.11,258,0.53,11.21,0.5,1.97,ml,CI,,0.2403,26.73,239.3,"[29.0, 26.600000381469727, 25.100000381469727]",2326,11:08.4,earthquake_local,109C.TA_20070905051107_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.62,4.83,1065,manual,0.62,ci10276489,32:58.2,nan,32.7648333,-117.3536667,0.11,274,0.63,11.13,0.74,1.39,ml,CI,,0.2431,27.04,239.2,"[18.700000762939453, 19.200000762939453, 16.0]",2860,32:56.0,earthquake_local,109C.TA_20070905073254_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.65,13.12,1680,manual,0.57,ci10276705,47:50.8,nan,33.0851667,-117.9293333,0.52,147,0.9,6.9,,2.32,ml,CI,,0.7199,80.05,285.6,"[30.100000381469727, 26.200000762939453, 23.799999237060547]",2232,47:58.0,earthquake_local,109C.TA_20070905204756_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.5,5.73,878,manual,0.5,12958631,10:15.8,0.52,32.7575,-117.3613,0.8477,154.998,4.5982,8.68,,3.1,ml,,,0.25,28.07,58.6,"[46.79999923706055, 53.900001525878906, 40.0]",1895,10:16.5,earthquake_local,109C.TA_20070907191015_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.5,5.48,867,manual,0.5,12958575,47:31.5,0.6,32.7691,-117.3447,0.6239,129.377,4.9202,12,,2.8,ml,,,0.23,26.07,59.3,"[39.599998474121094, 38.29999923706055, 33.20000076293945]",2238,47:31.9,earthquake_local,109C.TA_20070907214730_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.68,4.77,1048,manual,0.68,ci10277849,48:12.8,nan,32.76,-117.3441667,0.14,255,0.42,10.64,0.58,2.24,ml,CI,,0.2388,26.56,237.3,"[31.899999618530273, 36.70000076293945, 34.29999923706055]",2184,48:10.5,earthquake_local,109C.TA_20070909014809_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.68,4.7,850,manual,0.62,ci10277853,00:50.1,nan,32.7666667,-117.3488333,0.16,257,0.56,10.3,0.86,1.7,ml,CI,,0.2387,26.54,239.1,"[29.600000381469727, 26.0, 19.700000762939453]",2400,00:49.8,earthquake_local,109C.TA_20070909020048_EV
